cliente,recencia,frequencia,valor_monetario,periodo,grupo
189342,51,9,74.77111,243,5
189343,86,3,83.703333,204,5
189346,69,9,82.222222,238,5
189348,212,3,152.673332,243,3
189349,44,11,52.508181,191,5
189350,147,9,76.993333,238,3
189351,7,27,325.031851,233,1
189353,12,18,29.126666,241,1
189354,11,6,153.614999,220,5
189356,227,1,366.06,227,3
189357,1,29,74.734137,235,1
189358,15,4,48.984999,242,5
189359,2,13,331.080768,243,5
189362,2,12,147.127499,225,5
189364,21,3,127.433332,232,5
189368,3,9,378.546666,214,5
189369,2,11,166.47909,239,5
189371,2,9,38.886666,204,5
189375,228,2,25.43,242,3
189376,146,5,119.758,235,3
189377,204,4,43.597499,243,3
189378,57,12,42.539166,229,5
189381,170,4,91.1325,225,3
189383,232,1,53.69,232,3
189384,50,3,234.059999,216,5
189385,15,8,82.866249,233,5
189388,157,3,126.53,241,3
189390,171,3,265.746665,233,3
189391,5,11,113.877272,242,5
189393,85,3,144.589999,214,5
189394,39,5,124.173999,241,5
189395,1,7,36.37,219,5
189397,30,1,211.619999,30,2
189399,6,30,55.098999,234,1
189400,66,3,23.086666,175,5
189403,24,4,124.494998,240,5
189406,239,1,29.42,239,3
189409,25,5,490.423998,241,4
189414,26,8,11.765,238,5
189416,16,14,80.382142,243,1
189418,1,15,93.420666,225,1
189420,210,1,391.52,210,4
189421,163,2,82.27,239,3
189423,142,5,233.164,191,3
189424,133,8,102.111249,205,3
189426,53,2,318.84,205,5
189429,211,2,277.994998,242,3
189433,25,13,114.211538,236,5
189436,61,4,141.164999,111,2
189437,1,12,171.567499,241,5
189440,174,6,187.765,242,3
189442,7,33,90.357272,238,1
189443,3,12,106.624999,220,5
189444,96,2,72.47,238,5
189445,7,7,92.845714,226,5
189449,62,4,255.789999,223,5
189451,206,2,241.874999,235,3
189453,25,13,83.935384,241,5
189454,91,2,603.344999,211,4
189455,23,3,17.946666,236,5
189456,23,12,225.295832,242,5
189457,12,5,99.713999,226,5
189458,4,8,135.873749,242,5
189460,138,1,324.33,138,4
189461,241,1,39.54,241,3
189462,29,5,59.636,168,5
189467,1,62,43.919999,240,1
189468,92,2,115.02,241,5
189469,191,3,143.076666,214,3
